Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,No_of_Votes,Gross
"Monsters, Inc.",2001,U,92,Animation,8.1,79,Pete Docter,815505,289916256
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,UA,87,Animation,8.1,,Hideaki Anno,38847,
Lagaan: Once Upon a Time in India,2001,U,224,Adventure,8.1,84,Ashutosh Gowariker,105036,70147
The Sixth Sense,1999,A,107,Drama,8.1,64,M. Night Shyamalan,911573,293506292
La leggenda del pianista sull'oceano,1998,U,169,Drama,8.1,58,Giuseppe Tornatore,59020,259127
The Truman Show,1998,U,103,Comedy,8.1,90,Peter Weir,939631,125618201
"Crna macka, beli macor",1998,R,127,Comedy,8.1,73,Emir Kusturica,50862,348660
The Big Lebowski,1998,R,117,Comedy,8.1,71,Joel Coen,732620,17498804
Fa yeung nin wah,2000,U,98,Drama,8.1,85,Kar-Wai Wong,124383,2734044
Trainspotting,1996,A,93,Drama,8.1,83,Danny Boyle,634716,16501785
Fargo,1996,A,98,Crime,8.1,85,Joel Coen,617444,24611975
Underground,1995,,170,Comedy,8.1,,Emir Kusturica,55220,171082
La haine,1995,UA,98,Crime,8.1,,Mathieu Kassovitz,150345,309811
Dilwale Dulhania Le Jayenge,1995,U,189,Drama,8.1,,Aditya Chopra,63516,
Before Sunrise,1995,R,101,Drama,8.1,77,Richard Linklater,272291,5535405
Trois couleurs: Rouge,1994,U,99,Drama,8.1,100,Krzysztof Kieslowski,90729,4043686
Chung Hing sam lam,1994,U,102,Comedy,8.1,77,Kar-Wai Wong,63122,600200
Jurassic Park,1993,UA,127,Action,8.1,68,Steven Spielberg,867615,402453882
In the Name of the Father,1993,UA,133,Biography,8.1,84,Jim Sheridan,156842,25010410
Ba wang bie ji,1993,R,171,Drama,8.1,,Kaige Chen,25088,5216888
Dà hóng denglong gaogao guà,1991,PG,125,Drama,8.1,,Yimou Zhang,29662,2603061
Dead Poets Society,1989,U,128,Comedy,8.1,79,Peter Weir,425457,95860116
Stand by Me,1986,U,89,Adventure,8.1,75,Rob Reiner,363401,52287414
Platoon,1986,A,120,Drama,8.1,92,Oliver Stone,381222,138530565
"Paris, Texas",1984,U,145,Drama,8.1,78,Wim Wenders,91188,2181987
Kaze no tani no Naushika,1984,U,117,Animation,8.1,86,Hayao Miyazaki,150924,495770
The Thing,1982,A,109,Horror,8.1,57,John Carpenter,371271,13782838
Pink Floyd: The Wall,1982,UA,95,Drama,8.1,47,Alan Parker,76081,22244207
Fitzcarraldo,1982,R,158,Adventure,8.1,,Werner Herzog,31595,
Fanny och Alexander,1982,A,188,Drama,8.1,100,Ingmar Bergman,57784,4971340
Blade Runner,1982,UA,117,Action,8.1,84,Ridley Scott,693827,32868943
The Elephant Man,1980,UA,124,Biography,8.1,78,David Lynch,220078,
Life of Brian,1979,R,94,Comedy,8.1,77,Terry Jones,367250,20045115
The Deer Hunter,1978,A,183,Drama,8.1,86,Michael Cimino,311361,48979328
Rocky,1976,U,120,Drama,8.1,70,John G. Avildsen,518546,117235247
Network,1976,UA,121,Drama,8.1,83,Sidney Lumet,144911,
Barry Lyndon,1975,PG,185,Adventure,8.1,89,Stanley Kubrick,149843,
Zerkalo,1975,G,107,Biography,8.1,,Andrei Tarkovsky,40081,177345
Chinatown,1974,UA,130,Drama,8.1,92,Roman Polanski,294230,29000000
Paper Moon,1973,U,102,Comedy,8.1,77,Peter Bogdanovich,42285,30933743
Viskningar och rop,1972,A,91,Drama,8.1,,Ingmar Bergman,30206,1742348
Solaris,1972,PG,167,Drama,8.1,90,Andrei Tarkovsky,81021,
Le samouraï,1967,GP,105,Crime,8.1,,Jean-Pierre Melville,45434,39481
Cool Hand Luke,1967,A,127,Crime,8.1,92,Stuart Rosenberg,161984,16217773
Persona,1966,,85,Drama,8.1,86,Ingmar Bergman,103191,
Andrei Rublev,1966,R,205,Biography,8.1,,Andrei Tarkovsky,46947,102021
La battaglia di Algeri,1966,,121,Drama,8.1,96,Gillo Pontecorvo,53089,55908
El ángel exterminador,1962,,95,Drama,8.1,,Luis Buñuel,29682,
What Ever Happened to Baby Jane?,1962,Passed,134,Drama,8.1,75,Robert Aldrich,50058,4050000
Sanjuro,1962,U,96,Action,8.1,,Akira Kurosawa,33044,
The Man Who Shot Liberty Valance,1962,,123,Drama,8.1,94,John Ford,68827,
Ivanovo detstvo,1962,,95,Drama,8.1,,Andrei Tarkovsky,31728,
Jungfrukällan,1960,A,89,Drama,8.1,,Ingmar Bergman,26697,1526000
Inherit the Wind,1960,Passed,128,Biography,8.1,75,Stanley Kramer,27254,
Les quatre cents coups,1959,,99,Crime,8.1,,François Truffaut,105291,
Ben-Hur,1959,U,212,Adventure,8.1,90,William Wyler,219466,74700000
Kakushi-toride no san-akunin,1958,,139,Adventure,8.1,,Akira Kurosawa,34797,
Le notti di Cabiria,1957,,110,Drama,8.1,,Federico Fellini,42940,752045
Kumonosu-jô,1957,,110,Drama,8.1,,Akira Kurosawa,46678,
The Bridge on the River Kwai,1957,PG,161,Adventure,8.1,87,David Lean,203463,44908000
On the Waterfront,1954,A,108,Crime,8.1,91,Elia Kazan,142107,9600000
Le salaire de la peur,1953,U,131,Adventure,8.1,85,Henri-Georges Clouzot,54588,
Ace in the Hole,1951,Approved,111,Drama,8.1,72,Billy Wilder,31568,3969893
White Heat,1949,,114,Action,8.1,,Raoul Walsh,29807,
The Third Man,1949,Approved,104,Film-Noir,8.1,97,Carol Reed,158731,449191
The Red Shoes,1948,,135,Drama,8.1,,Michael Powell,30935,10900000
The Shop Around the Corner,1940,,99,Comedy,8.1,96,Ernst Lubitsch,28450,203300
Rebecca,1940,Approved,130,Drama,8.1,86,Alfred Hitchcock,123942,4360000
Mr. Smith Goes to Washington,1939,Passed,129,Comedy,8.1,73,Frank Capra,107017,9600000
Gone with the Wind,1939,U,238,Drama,8.1,97,Victor Fleming,290074,198676459
La Grande Illusion,1937,,113,Drama,8.1,,Jean Renoir,33829,172885
It Happened One Night,1934,Approved,105,Comedy,8.1,87,Frank Capra,94016,4360000
La passion de Jeanne d'Arc,1928,Passed,110,Biography,8.1,,Carl Theodor Dreyer,47676,21877
The Circus,1928,Passed,72,Comedy,8.1,90,Charles Chaplin,30205,
Sunrise: A Song of Two Humans,1927,Passed,94,Drama,8.1,,F.W. Murnau,46865,539540
The General,1926,Passed,67,Action,8.1,,Clyde Bruckman,81156,1033895
Das Cabinet des Dr. Caligari,1920,,76,Fantasy,8.1,,Robert Wiene,57428,
Badhaai ho,2018,UA,124,Comedy,8,,Amit Ravindernath Sharma,27978,
Togo,2019,U,113,Adventure,8,69,Ericson Core,37556,
Airlift,2016,UA,130,Drama,8,,Raja Menon,52897,
Bajrangi Bhaijaan,2015,UA,163,Action,8,,Kabir Khan,72245,8178001
Baby,2015,UA,159,Action,8,,Neeraj Pandey,52848,
La La Land,2016,A,128,Comedy,8,94,Damien Chazelle,505918,151101803
Lion,2016,U,118,Biography,8,69,Garth Davis,213970,51739495
The Martian,2015,UA,144,Adventure,8,80,Ridley Scott,760094,228433663
